
----
./data/060618/rapid-response-007_reports/chrf_rna_0002_s2.csv

	level_0	index	category_name	genus_taxid	NT_rpm DNA	NT_zscore DNA	genus_NT_rpm DNA	genus_NT_zscore DNA	name_x	NR_rpm DNA	NT_rpm RNA	NT_zscore RNA	genus_NT_rpm RNA	genus_NT_zscore RNA	name_y	NR_rpm RNA	Species_Assignment	genus_NT_rpm DNA scaled	genus_NT_rpm RNA scaled
6	9	4	Bacteria	57493	0.3	-0.2	0.4	-0.2	Kocuria palustris	0.2	2.0	-0.2	4.8	-0.2	Kocuria turfanensis	0.2	Kocuria turfanensis	0.02666666666666668	0.04071246819338422
7	7	1	Bacteria	40323	1.1	-0.3	1.4	-0.4	Stenotrophomonas maltophilia	0.6	3.1	-0.3	4.4	-0.3	Stenotrophomonas maltophilia	1.0	Stenotrophomonas maltophilia	0.09333333333333337	0.037319762510602206
8	5	26	Bacteria	590	0.1	-0.2	0.1	-0.2	Salmonella enterica	0.1	4.0	0.7	4.0	0.7	Salmonella enterica	15.5	Salmonella enterica	0.00666666666666667	0.033927056827820185
9	8	3	Bacteria	1269	0.5	-0.2	0.5	-0.2	Micrococcus luteus	0.3	2.7	-0.2	3.2	-0.2	Micrococcus luteus	1.4	Micrococcus luteus	0.03333333333333335	0.02714164546225615
10	10	15	Bacteria	475	0.2	-0.2	0.2	-0.2	Moraxella osloensis	0.1	1.9	-0.2	2.5	-0.2	Moraxella osloensis	0.5	Moraxella osloensis	0.01333333333333334	0.021204410517387615
11	14	10	Bacteria	48736	0.2	-0.3	0.2	-0.3	Ralstonia pickettii	0.2	0.6	-0.3	1.3	-0.3	Ralstonia pickettii	0.4	Ralstonia pickettii	0.01333333333333334	0.01102629346904156
12	13	7	Bacteria	53457	0.2	100.0	0.2	-0.3	Janibacter indicus	0.1	0.8	100.0	0.8	-0.2	Janibacter indicus	0.2	Janibacter indicus	0.01333333333333334	0.006785411365564037
13	16	494	Viruses	687332	0.0	100.0	0.0	-0.1	Unnamed species taxon 2065036	0.0	0.4	0.6	0.7	0.4	TTV-like mini virus	0.8	TTV-like mini virus	0.0	0.005937234944868532
14	15	9	Bacteria	233191	0.2	0.0	0.2	0.0	Caldilinea aerophila	0.4	0.4	0.2	0.4	0.2	Caldilinea aerophila	0.6	Caldilinea aerophila	0.01333333333333334	0.0033927056827820186
15	18	462	Viruses	1982251	0.0	0.5	0.0	-0.1	Propionibacterium virus PHL132N00	0.0	0.0	0.0	0.0	0.0	0	0.0	Propionibacterium virus PHL132N00	0.0	0.0
16	19	463	Viruses	1982239	0.0	100.0	0.0	4.7	Pseudomonas virus PaMx25	0.0	0.0	0.0	0.0	0.0	0	0.0	Pseudomonas virus PaMx25	0.0	0.0
17	0	8	Viruses	-200687329	0.2	0.2	0.0	0.0	Torque teno virus	0.1	41.1	87.6	0.0	0.0	Torque teno virus	28.5	Torque teno virus	0.0	0.0
18	17	301	Viruses	-200010699	0.0	-100.0	0.0	0.0	Gordonia phage Yvonnetastic	0.0	0.0	0.0	0.0	0.0	0	0.0	Gordonia phage Yvonnetastic	0.0	0.0
19	3	18	Bacteria	-200	0.1	-0.5	0.0	0.0	uncultured bacterium	0.1	16.9	-0.4	0.0	0.0	uncultured bacterium	4.8	uncultured bacterium	0.0	0.0
20	20	488	Viruses	477967	0.0	-100.0	0.0	-100.0	Pseudomonas phage phi-2	0.0	0.0	0.0	0.0	0.0	0	0.0	Pseudomonas phage phi-2	0.0	0.0



----
./data/060618/rapid-response-007_reports/chrf_rna_0004_s4.csv

	level_0	index	category_name	genus_taxid	NT_rpm DNA	NT_zscore DNA	genus_NT_rpm DNA	genus_NT_zscore DNA	name_x	NR_rpm DNA	NT_rpm RNA	NT_zscore RNA	genus_NT_rpm RNA	genus_NT_zscore RNA	name_y	NR_rpm RNA	Species_Assignment	genus_NT_rpm DNA scaled	genus_NT_rpm RNA scaled
0	1	0	Bacteria	1912216	22.3	-0.2	22.6	-0.2	Cutibacterium acnes	7.8	106.5	0.2	117.1	0.2	Cutibacterium acnes	174.6	Cutibacterium acnes	0.11472081218274115	0.12783842794759823
1	10	58	Bacteria	407	0.5	-0.3	2.5	-0.3	Methylobacterium populi	0.1	8.6	-0.1	106.0	-0.2	Methylobacterium aquaticum	0.7	Methylobacterium aquaticum	0.01269035532994924	0.11572052401746724
2	7	20	Bacteria	13687	1.3	-0.3	6.6	-0.2	Sphingomonas melonis	0.2	15.5	0.7	104.1	-0.1	Sphingomonas taxi	0.9	Sphingomonas taxi	0.03350253807106599	0.11364628820960697
3	3	38	Bacteria	88138	0.7	-0.3	0.7	-0.3	Modestobacter marinus	0.1	51.2	4.9	70.3	6.8	Modestobacter marinus	9.1	Modestobacter marinus	0.0035532994923857873	0.07674672489082968
4	2	101	Bacteria	561	0.3	-0.1	0.4	-0.1	Escherichia coli	0.8	58.3	0.0	67.1	0.1	Escherichia coli	97.1	Escherichia coli	0.0020304568527918787	0.07325327510917029
5	12	2	Bacteria	1301	10.0	-0.2	12.2	-0.2	Streptococcus pneumoniae	5.7	7.2	-0.0	55.6	-0.2	Streptococcus thermophilus	2.7	Streptococcus thermophilus	0.06192893401015229	0.060698689956331875
6	16	22	Bacteria	1716	1.3	-0.3	6.8	-0.2	Corynebacterium ureicelerivorans	0.2	5.1	-0.0	55.1	-0.2	Corynebacterium ureicelerivorans	0.3	Corynebacterium ureicelerivorans	0.03451776649746193	0.060152838427947594
7	8	29	Bacteria	469	0.9	-0.2	3.0	-0.1	Acinetobacter johnsonii	0.1	13.2	-0.1	44.8	-0.1	Acinetobacter johnsonii	0.3	Acinetobacter johnsonii	0.015228426395939089	0.048908296943231434
8	20	48	Bacteria	1279	0.6	-0.3	1.7	-0.3	Staphylococcus epidermidis	0.2	4.1	-0.3	38.6	-0.2	Staphylococcus epidermidis	1.9	Staphylococcus epidermidis	0.008629441624365483	0.04213973799126637
9	4	30	Bacteria	38501	0.9	-0.3	0.9	-0.3	Blastococcus saxobsidens	0.3	30.9	3.1	32.5	2.8	Blastococcus saxobsidens	0.6	Blastococcus saxobsidens	0.004568527918781727	0.03548034934497816
10	5	3	Bacteria	1269	7.0	-0.2	7.6	-0.2	Micrococcus luteus	3.3	20.3	-0.1	32.2	-0.0	Micrococcus luteus	4.2	Micrococcus luteus	0.03857868020304569	0.0351528384279476
11	39	10	Bacteria	286	3.0	-0.3	11.0	-0.3	Pseudomonas stutzeri	1.3	1.3	-0.4	24.9	-0.3	Pseudomonas stutzeri	0.6	Pseudomonas stutzeri	0.05583756345177666	0.027183406113537114
12	14	1	Bacteria	57493	13.2	0.0	17.2	-0.1	Kocuria palustris	7.2	6.2	-0.1	23.0	-0.1	Kocuria rhizophila	0.6	Kocuria rhizophila	0.08730964467005077	0.025109170305676852
13	31	4	Bacteria	1763	5.9	0.0	74.2	-0.0	Mycobacterium sp. YC-RL4	0.2	1.7	0.2	22.3	-0.2	Mycobacterium gilvum	0.1	Mycobacterium sp. YC-RL4	0.3766497461928935	0.024344978165938863
14	24	33	Bacteria	33882	0.8	-0.2	5.0	-0.4	Microbacterium aurum	0.5	3.0	0.1	20.1	-0.2	Microbacterium aurum	0.7	Microbacterium aurum	0.02538071065989848	0.021943231441048035
15	6	356	Bacteria	242605	0.1	-0.1	0.1	-0.1	Luteibacter rhizovicinus	0.1	17.6	1.4	20.0	1.7	Luteibacter rhizovicinus	2.1	Luteibacter rhizovicinus	0.0005076142131979697	0.021834061135371178
16	11	12	Bacteria	475	2.7	-0.2	2.7	-0.2	Moraxella osloensis	0.8	8.4	-0.2	13.6	-0.1	Moraxella osloensis	1.3	Moraxella osloensis	0.013705583756345181	0.0148471615720524
17	23	6	Bacteria	265	3.4	-0.2	5.6	-0.2	Paracoccus yeei	2.7	3.7	0.5	13.6	-0.1	Paracoccus contaminans	0.3	Paracoccus contaminans	0.0284263959390863	0.0148471615720524
18	40	102	Bacteria	1298	0.3	-0.1	1.2	-0.2	Deinococcus swuensis	0.1	1.2	-0.1	11.8	0.0	Deinococcus puniceus	0.1	Deinococcus puniceus	0.006091370558375635	0.012882096069868995
19	9	14	Bacteria	590	1.9	0.2	1.9	0.2	Salmonella enterica	1.4	10.9	2.3	11.0	2.3	Salmonella enterica	44.3	Salmonella enterica	0.009644670050761422	0.012008733624454147
20	15	8	Bacteria	40323	3.3	-0.3	5.3	-0.3	Stenotrophomonas maltophilia	1.4	5.1	-0.3	7.8	-0.3	Stenotrophomonas maltophilia	2.6	Stenotrophomonas maltophilia	0.02690355329949239	0.008515283842794758
21	13	359	Bacteria	1847725	0.1	-0.2	0.1	-0.2	Lawsonella clevelandensis	0.2	6.6	-0.1	6.6	-0.1	Lawsonella clevelandensis	0.5	Lawsonella clevelandensis	0.0005076142131979697	0.007205240174672488
22	42	111	Bacteria	1847	0.3	-0.1	1.0	-0.2	Pseudonocardia dioxanivorans	0.1	1.1	0.0	6.6	0.4	Pseudonocardia dioxanivorans	0.2	Pseudonocardia dioxanivorans	0.005076142131979696	0.007205240174672488
23	27	70	Bacteria	570	0.4	-0.3	0.7	-0.3	Klebsiella pneumoniae	0.2	2.1	-0.3	5.7	-0.2	Klebsiella pneumoniae	12.9	Klebsiella pneumoniae	0.0035532994923857873	0.006222707423580785
24	41	24	Bacteria	41275	1.3	-0.3	6.0	-0.3	Brevundimonas sp. GW460-12-10-14-LB2	0.2	1.2	-0.2	5.6	-0.3	Brevundimonas sp. DS20	0.1	Brevundimonas sp. GW460-12-10-14-LB2	0.030456852791878177	0.006113537117903929



----
./data/060618/rapid-response-007_reports/chrf_rna_0005_s5.csv

	level_0	index	category_name	genus_taxid	NT_rpm DNA	NT_zscore DNA	genus_NT_rpm DNA	genus_NT_zscore DNA	name_x	NR_rpm DNA	NT_rpm RNA	NT_zscore RNA	genus_NT_rpm RNA	genus_NT_zscore RNA	name_y	NR_rpm RNA	Species_Assignment	genus_NT_rpm DNA scaled	genus_NT_rpm RNA scaled
0	0	0	Bacteria	547	763.3	99.0	3807.3	50.7	Enterobacter hormaechei	80.3	99.8	13.9	465.9	6.0	Enterobacter hormaechei	11.2	Enterobacter hormaechei	0.9220430107526878	0.7827620967741933
1	1	1	Bacteria	544	231.1	54.3	259.0	33.6	Citrobacter freundii	27.1	36.4	8.3	40.1	4.9	Citrobacter freundii	4.6	Citrobacter freundii	0.06272401433691754	0.06737231182795697
2	2	2	Bacteria	561	14.8	-0.1	15.2	-0.1	Escherichia coli	80.6	34.3	-0.0	38.3	-0.0	Escherichia coli	83.2	Escherichia coli	0.0036811004552940022	0.06434811827956988
3	4	20	Bacteria	1912216	0.2	-0.2	0.2	-0.2	Cutibacterium acnes	0.1	14.7	-0.2	15.4	-0.2	Cutibacterium acnes	14.2	Cutibacterium acnes	4.843553230650003e-05	0.02587365591397849
4	5	4	Bacteria	590	10.5	2.2	11.5	2.4	Salmonella enterica	43.6	7.4	1.5	7.5	1.5	Salmonella enterica	26.9	Salmonella enterica	0.0027850431076237516	0.0126008064516129
5	8	27	Bacteria	469	0.1	-0.1	0.2	-0.1	Acinetobacter baumannii	2.6	2.7	-0.2	6.1	-0.1	Acinetobacter johnsonii	0.5	Acinetobacter johnsonii	4.843553230650003e-05	0.01024865591397849
6	6	9	Bacteria	40323	1.0	-0.3	1.1	-0.4	Stenotrophomonas maltophilia	0.4	4.3	-0.3	5.5	-0.3	Stenotrophomonas maltophilia	1.9	Stenotrophomonas maltophilia	0.0002663954276857502	0.00924059139784946
7	11	22	Bacteria	286	0.1	-0.3	0.3	-0.3	Pseudomonas putida	0.2	0.5	-0.4	5.5	-0.3	Pseudomonas stutzeri	0.3	Pseudomonas stutzeri	7.265329845975003e-05	0.00924059139784946
8	9	5	Bacteria	570	6.5	-0.1	12.9	-0.1	Klebsiella pneumoniae	44.3	1.7	-0.3	3.6	-0.2	Klebsiella pneumoniae	15.3	Klebsiella pneumoniae	0.003124091833769252	0.0060483870967741925
9	7	3	Bacteria	1330546	14.6	46.6	14.6	46.7	Pluralibacter gergoviae	2.7	3.1	9.6	3.1	9.6	Pluralibacter gergoviae	0.3	Pluralibacter gergoviae	0.003535793858374502	0.005208333333333332
10	18	14	Bacteria	53335	0.6	0.3	1.2	-0.1	Pantoea agglomerans	0.2	0.1	0.1	0.7	-0.2	Pantoea ananatis	7.1	Pantoea agglomerans	0.00029061319383900014	0.001176075268817204
11	15	17	Bacteria	620	0.3	100.0	0.5	-0.3	Shigella sp. MO17	0.1	0.2	-0.3	0.7	-0.3	Shigella flexneri	0.8	Shigella flexneri	0.00012108883076625007	0.001176075268817204
12	13	8	Bacteria	413496	1.7	3.6	2.7	1.6	Cronobacter sakazakii	2.2	0.3	0.5	0.6	0.2	Cronobacter sakazakii	1.2	Cronobacter sakazakii	0.0006538796861377505	0.001008064516129032
13	10	775	Viruses	10509	0.0	0.0	0.0	0.0	0	0.0	0.5	0.7	0.5	0.7	Human mastadenovirus C	0.2	Human mastadenovirus C	0.0	0.00084005376344086
14	20	36	Bacteria	662	0.1	-0.1	0.1	-0.3	Vibrio cholerae	2.9	0.1	73.9	0.5	-0.0	Vibrio sp. 04Ya090	0.1	Vibrio sp. 04Ya090	2.4217766153250016e-05	0.00084005376344086
15	12	26	Bacteria	53457	0.1	100.0	0.1	-0.4	Janibacter indicus	0.1	0.4	100.0	0.4	-0.3	Janibacter indicus	0.1	Janibacter indicus	2.4217766153250016e-05	0.000672043010752688
16	14	780	Viruses	333922	0.0	0.0	0.0	0.0	0	0.0	0.3	18.3	0.3	1.5	Betapapillomavirus 2	0.3	Betapapillomavirus 2	0.0	0.000504032258064516
17	16	19	Bacteria	551	0.2	7.7	0.2	-0.1	Erwinia tasmaniensis	0.1	0.1	0.3	0.2	-0.2	Erwinia amylovora	9.0	Erwinia tasmaniensis	4.843553230650003e-05	0.000336021505376344
18	19	30	Bacteria	583	0.1	-0.0	0.1	-0.0	Proteus mirabilis	1.7	0.1	0.0	0.2	0.0	Proteus mirabilis	0.2	Proteus mirabilis	2.4217766153250016e-05	0.000336021505376344
19	17	18	Bacteria	29487	0.3	27.6	0.3	5.7	Photorhabdus luminescens	0.9	0.1	5.2	0.1	1.0	Photorhabdus luminescens	2.6	Photorhabdus luminescens	7.265329845975003e-05	0.000168010752688172
20	3	6	Bacteria	-200	5.1	-0.5	0.0	0.0	uncultured bacterium	6.1	26.0	-0.4	0.0	0.0	uncultured bacterium	5.5	uncultured bacterium	0.0	0.0
21	21	10	Viruses	186765	0.9	100.0	1.6	1.3	Escherichia phage HK639	0.1	0.0	0.0	0.0	0.0	0	0.0	Escherichia phage HK639	0.00038748425845200026	0.0
22	22	40	Viruses	308911	0.1	100.0	0.1	100.0	Escherichia virus N15	0.0	0.0	0.0	0.0	0.0	0	0.0	Escherichia virus N15	2.4217766153250016e-05	0.0
23	23	41	Viruses	-200010699	0.1	100.0	0.0	0.0	Salmonella phage vB_SosS_Oslo	0.0	0.0	0.0	0.0	0.0	0	0.0	Salmonella phage vB_SosS_Oslo	0.0	0.0
24	24	322	Viruses	-200010662	0.0	100.0	0.0	0.0	Cronobacter phage ENT47670	0.0	0.0	0.0	0.0	0.0	0	0.0	Cronobacter phage ENT47670	0.0	0.0



----
./data/060618/rapid-response-007_reports/chrf_rna_0014_s14.csv

	level_0	index	category_name	genus_taxid	NT_rpm DNA	NT_zscore DNA	genus_NT_rpm DNA	genus_NT_zscore DNA	name_x	NR_rpm DNA	NT_rpm RNA	NT_zscore RNA	genus_NT_rpm RNA	genus_NT_zscore RNA	name_y	NR_rpm RNA	Species_Assignment	genus_NT_rpm DNA scaled	genus_NT_rpm RNA scaled
0	0	0	Bacteria	1301	76.4	-0.0	85.7	-0.1	Streptococcus pneumoniae	48.1	23.5	-0.1	29.7	-0.2	Streptococcus pneumoniae	19.0	Streptococcus pneumoniae	0.9873271889400922	0.8510028653295129
1	3	252	Viruses	687332	0.0	0.0	0.0	0.0	0	0.0	1.2	1.8	2.7	1.8	TTV-like mini virus	0.6	TTV-like mini virus	0.0	0.07736389684813755
2	2	4	Bacteria	561	0.1	-0.1	0.1	-0.1	Escherichia coli	0.3	2.0	-0.1	2.3	-0.1	Escherichia coli	2.0	Escherichia coli	0.001152073732718894	0.0659025787965616
3	4	1	Bacteria	40323	0.7	-0.4	1.0	-0.4	Stenotrophomonas maltophilia	0.3	0.2	-0.4	0.2	-0.4	Stenotrophomonas maltophilia	0.6	Stenotrophomonas maltophilia	0.01152073732718894	0.005730659025787966
4	1	94	Viruses	-200687329	0.0	-0.1	0.0	0.0	Torque teno virus	0.0	2.3	4.9	0.0	0.0	Torque teno virus	2.3	Torque teno virus	0.0	0.0
5	5	63	Viruses	10663	0.0	-100.0	0.0	-100.0	Aeromonas phage PX29	0.0	0.0	0.0	0.0	0.0	0	0.0	Aeromonas phage PX29	0.0	0.0
6	6	89	Viruses	-200010699	0.0	-100.0	0.0	0.0	Actinoplanes phage phiAsp2	0.0	0.0	0.0	0.0	0.0	0	0.0	Actinoplanes phage phiAsp2	0.0	0.0
7	7	238	Viruses	110456	0.0	0.5	0.0	0.4	Escherichia virus T7	0.0	0.0	0.0	0.0	0.0	0	0.0	Escherichia virus T7	0.0	0.0



----
./data/060618/rapid-response-007_reports/chrf_rna_0015_s15.csv

	level_0	index	category_name	genus_taxid	NT_rpm DNA	NT_zscore DNA	genus_NT_rpm DNA	genus_NT_zscore DNA	name_x	NR_rpm DNA	NT_rpm RNA	NT_zscore RNA	genus_NT_rpm RNA	genus_NT_zscore RNA	name_y	NR_rpm RNA	Species_Assignment	genus_NT_rpm DNA scaled	genus_NT_rpm RNA scaled
0	6	5	Bacteria	286	57.7	2.4	182.3	-0.1	Pseudomonas stutzeri	23.2	44.4	1.7	833.7	0.8	Pseudomonas stutzeri	1.3	Pseudomonas stutzeri	0.04895273899033298	0.3232522973130162
1	1	4	Bacteria	469	72.2	0.0	230.0	-0.1	Acinetobacter johnsonii	10.9	142.6	1.8	372.9	-0.1	Acinetobacter lwoffii	0.3	Acinetobacter lwoffii	0.06176154672395274	0.1445853204606258
2	34	52	Bacteria	407	5.5	-0.3	25.1	-0.3	Methylobacterium populi	1.8	2.0	-0.3	354.8	0.1	Methylobacterium aquaticum	11.4	Methylobacterium aquaticum	0.006740064446831365	0.13756736846186654
3	2	0	Viruses	1511911	1145.1	100.0	1168.6	100.0	Primate tetraparvovirus 1	517.3	136.6	100.0	139.6	100.0	Primate tetraparvovirus 1	69.8	Primate tetraparvovirus 1	0.3138023630504833	0.054127408786010626
4	3	2	Bacteria	1912216	348.4	1.1	351.6	1.0	Cutibacterium acnes	118.6	96.4	0.1	103.0	0.1	Cutibacterium acnes	143.7	Cutibacterium acnes	0.09441460794844254	0.039936411926641074
5	4	73	Bacteria	561	3.7	-0.1	3.7	-0.1	Escherichia coli	6.8	91.8	0.1	101.6	0.2	Escherichia coli	164.4	Escherichia coli	0.0009935553168635876	0.03939358691016246
6	5	345	Bacteria	1357	0.3	-0.3	0.4	-0.3	Lactococcus lactis	0.2	78.1	2.8	95.3	3.4	Lactococcus lactis	3.5	Lactococcus lactis	0.00010741138560687433	0.03695087433600869
7	12	18	Bacteria	1279	13.3	-0.2	38.0	-0.2	Staphylococcus epidermidis	3.4	10.0	1.3	83.8	-0.1	Staphylococcus pasteuri	0.4	Staphylococcus pasteuri	0.01020408163265306	0.032491954557791476
8	21	33	Bacteria	1716	9.6	0.3	77.7	-0.1	Corynebacterium ureicelerivorans	1.4	4.9	0.2	75.4	-0.1	Corynebacterium striatum	0.1	Corynebacterium ureicelerivorans	0.02086466165413534	0.029235004458919783
9	11	92	Bacteria	222	3.0	-0.3	6.6	-0.3	Achromobacter xylosoxidans	0.6	11.5	0.5	57.5	0.1	Achromobacter denitrificans	0.1	Achromobacter denitrificans	0.0017722878625134263	0.022294598891086037
10	33	29	Bacteria	13687	10.5	-0.2	56.9	-0.1	Sphingomonas melonis	2.3	2.5	-0.2	48.0	-0.1	Sphingomonas sp. LM7	0.1	Sphingomonas melonis	0.015279269602577873	0.018611143422124
11	16	3	Bacteria	475	78.7	0.0	79.4	0.0	Moraxella osloensis	20.6	7.4	-0.2	45.6	-0.1	Moraxella osloensis	0.3	Moraxella osloensis	0.021321160042964554	0.0176805862510178
12	31	34	Bacteria	1301	9.4	-0.2	26.7	-0.2	Streptococcus pneumoniae	7.7	2.8	-0.2	36.9	-0.2	Streptococcus mitis	0.2	Streptococcus mitis	0.007169709989258861	0.014307316505757823
13	7	350	Bacteria	303379	0.3	0.8	0.4	0.8	Herminiimonas arsenicoxydans	0.2	23.8	81.4	36.5	99.0	Herminiimonas arsenicoxydans	0.2	Herminiimonas arsenicoxydans	0.00010741138560687433	0.01415222364390679
14	8	15	Bacteria	265976	14.1	1.0	14.2	1.0	Serinicoccus sp. JLT9	2.2	20.0	1.5	21.8	1.6	Serinicoccus sp. JLT9	0.3	Serinicoccus sp. JLT9	0.0038131041890440386	0.008452560970881316
15	86	22	Bacteria	41275	12.4	0.0	51.2	0.1	Brevundimonas diminuta	6.5	0.2	-0.1	20.0	-0.2	Brevundimonas diminuta	0.3	Brevundimonas diminuta	0.013748657357679914	0.007754643092551665
16	17	301	Bacteria	613	0.5	-0.2	1.6	-0.3	Serratia marcescens	0.1	7.1	0.8	20.0	1.6	Serratia marcescens	8.3	Serratia marcescens	0.0004296455424274973	0.007754643092551665
17	23	11	Bacteria	265	29.6	1.4	67.6	1.2	Paracoccus yeei	12.5	4.1	0.6	19.8	0.1	Paracoccus contaminans	0.1	Paracoccus yeei	0.01815252416756176	0.007677096661626149
18	9	65	Bacteria	32207	4.1	-0.1	6.5	-0.1	Rothia mucilaginosa	0.6	15.6	0.3	19.7	0.0	Rothia mucilaginosa	0.2	Rothia mucilaginosa	0.001745435016111708	0.00763832344616339
