
RNA
category_name	genus_taxid	name	NT_rpm RNA	NR_rpm RNA
Bacteria	375288	Parabacteroides merdae	0.1	0.3
Bacteria	158481	Hahella chejuensis	0.1	0.1
Bacteria	445	Legionella pneumophila	0.1	0.2

Combined
category_name	genus_taxid	Species_Assignment	NT_rpm DNA	NR_rpm DNA	NT_zscore DNA	NT_rpm RNA	NR_rpm RNA	NT_zscore RNA
Viruses	-200687329	Torque teno virus	41.1	28.5	99.0	41.1	28.5	99.0
Bacteria	1301	Streptococcus pneumoniae	10.5	8.0	14.5	10.5	8.0	14.5
Bacteria	1279	Staphylococcus warneri	8.2	1.4	4.7	8.2	1.4	4.7
Viruses	687331	Torque teno virus 16	3.9	1.7	100.0	3.9	1.7	100.0
Bacteria	68	Lysobacter antibioticus	0.8	0.1	1.4	0.8	0.1	1.4
Bacteria	122277	Pectobacterium carotovorum	0.5	0.4	1.6	0.5	0.4	1.6
Viruses	687332	TTV-like mini virus	0.4	0.8	91.9	0.4	0.8	91.9
Bacteria	1678	Bifidobacterium bifidum	0.2	0.2	1.9	0.2	0.2	1.9
Bacteria	375288	Parabacteroides merdae	0.1	0.3	1.4	0.1	0.3	1.4
Bacteria	158481	Hahella chejuensis	0.1	0.1	1.7	0.1	0.1	1.7
Bacteria	445	Legionella pneumophila	0.1	0.2	1.5	0.1	0.2	1.5



RNA
category_name	genus_taxid	name	NT_rpm RNA	NR_rpm RNA
Bacteria	447237	Frondihabitans sp. PAMC 28766	137.4	2.7
Bacteria	32207	Rothia mucilaginosa	90.9	0.1
Bacteria	149698	Massilia putida	59.1	3.5
Bacteria	88138	Modestobacter marinus	51.2	9.1
Bacteria	242605	Luteibacter rhizovicinus	17.6	2.1
Bacteria	13687	Sphingomonas taxi	15.5	0.9
Bacteria	392733	Terriglobus roseus	15.0	4.4
Bacteria	2034	Curtobacterium sp. 9128	11.5	0.1
Bacteria	407	Methylobacterium aquaticum	8.6	0.7
Bacteria	303379	Herminiimonas arsenicoxydans	8.3	0.1
Bacteria	1301	Streptococcus thermophilus	7.2	2.7
Bacteria	724	[Haemophilus] ducreyi	6.8	0.5
Bacteria	57493	Kocuria rhizophila	6.2	0.6
Bacteria	337004	Microcella alkaliphila	5.7	3.8
Bacteria	165779	Anaerococcus prevotii	4.8	0.2
Bacteria	682522	Ilumatobacter coccineus	4.0	0.4
Bacteria	1375	Aerococcus viridans	3.1	0.1
Bacteria	33882	Microbacterium aurum	3.0	0.7
Bacteria	29580	Janthinobacterium agaricidamnosum	2.6	0.1
Bacteria	1835	Saccharopolyspora erythraea	2.4	0.3

DNA
category_name	genus_taxid	name	NT_rpm DNA	NR_rpm DNA
Bacteria	447237	Frondihabitans sp. PAMC 28766	137.4	2.7
Bacteria	32207	Rothia mucilaginosa	90.9	0.1
Bacteria	149698	Massilia putida	59.1	3.5
Bacteria	88138	Modestobacter marinus	51.2	9.1
Bacteria	242605	Luteibacter rhizovicinus	17.6	2.1
Bacteria	13687	Sphingomonas taxi	15.5	0.9
Bacteria	392733	Terriglobus roseus	15.0	4.4
Bacteria	2034	Curtobacterium sp. 9128	11.5	0.1
Bacteria	407	Methylobacterium aquaticum	8.6	0.7
Bacteria	303379	Herminiimonas arsenicoxydans	8.3	0.1
Bacteria	1301	Streptococcus thermophilus	7.2	2.7
Bacteria	724	[Haemophilus] ducreyi	6.8	0.5
Bacteria	57493	Kocuria rhizophila	6.2	0.6
Bacteria	337004	Microcella alkaliphila	5.7	3.8
Bacteria	165779	Anaerococcus prevotii	4.8	0.2
Bacteria	682522	Ilumatobacter coccineus	4.0	0.4
Bacteria	1375	Aerococcus viridans	3.1	0.1
Bacteria	33882	Microbacterium aurum	3.0	0.7
Bacteria	29580	Janthinobacterium agaricidamnosum	2.6	0.1
Bacteria	1835	Saccharopolyspora erythraea	2.4	0.3

Combined
category_name	genus_taxid	Species_Assignment	NT_rpm DNA	NR_rpm DNA	NT_zscore DNA	NT_rpm RNA	NR_rpm RNA	NT_zscore RNA
Bacteria	447237	Frondihabitans sp. PAMC 28766	137.4	2.7	99.0	137.4	2.7	99.0
Bacteria	32207	Rothia mucilaginosa	90.9	0.1	23.7	90.9	0.1	23.7
Bacteria	149698	Massilia putida	59.1	3.5	16.1	59.1	3.5	16.1
Bacteria	88138	Modestobacter marinus	51.2	9.1	3.6	51.2	9.1	3.6
Bacteria	242605	Luteibacter rhizovicinus	17.6	2.1	8.8	17.6	2.1	8.8
Bacteria	13687	Sphingomonas taxi	15.5	0.9	3.1	15.5	0.9	3.1
Bacteria	392733	Terriglobus roseus	15.0	4.4	99.0	15.0	4.4	99.0
Bacteria	2034	Curtobacterium sp. 9128	11.5	0.1	99.0	11.5	0.1	99.0
Bacteria	407	Methylobacterium aquaticum	8.6	0.7	1.7	8.6	0.7	1.7
Bacteria	303379	Herminiimonas arsenicoxydans	8.3	0.1	15.1	8.3	0.1	15.1
Bacteria	1301	Streptococcus thermophilus	7.2	2.7	18.8	7.2	2.7	18.8
Bacteria	724	[Haemophilus] ducreyi	6.8	0.5	1.1	6.8	0.5	1.1
Bacteria	57493	Kocuria rhizophila	6.2	0.6	3.5	6.2	0.6	3.5
Bacteria	337004	Microcella alkaliphila	5.7	3.8	4.6	5.7	3.8	4.6
Bacteria	165779	Anaerococcus prevotii	4.8	0.2	1.1	4.8	0.2	1.1
Bacteria	682522	Ilumatobacter coccineus	4.0	0.4	3.5	4.0	0.4	3.5
Bacteria	1375	Aerococcus viridans	3.1	0.1	1.3	3.1	0.1	1.3
Bacteria	33882	Microbacterium aurum	3.0	0.7	3.2	3.0	0.7	3.2
Bacteria	29580	Janthinobacterium agaricidamnosum	2.6	0.1	1.4	2.6	0.1	1.4
Bacteria	1835	Saccharopolyspora erythraea	2.4	0.3	1.4	2.4	0.3	1.4



RNA
category_name	genus_taxid	name	NT_rpm RNA	NR_rpm RNA
Bacteria	547	Enterobacter hormaechei	99.8	11.2
Bacteria	1578	Lactobacillus crispatus	36.5	21.2
Bacteria	544	Citrobacter freundii	36.4	4.6
Bacteria	1330546	Pluralibacter gergoviae	3.1	0.3
Bacteria	848	Fusobacterium nucleatum	2.3	2.6
Bacteria	59753	Alcanivorax xenomutans	0.7	0.1
Bacteria	40222	Methylophaga nitratireducenticrescens	0.3	0.3
Bacteria	40222	Methylophaga frappieri	0.3	1.6
Bacteria	413496	Cronobacter sakazakii	0.3	1.2
Viruses	333922	Betapapillomavirus 2	0.3	0.3
Bacteria	1380	Atopobium parvulum	0.1	0.1
Bacteria	1883	Streptomyces anulatus	0.1	0.1
Bacteria	662	Vibrio sp. 04Ya090	0.1	0.1
Bacteria	1263	uncultured Ruminococcus sp.	0.1	1.6
Bacteria	1188227	Gloeomargarita lithophora	0.1	0.1
Bacteria	29487	Photorhabdus luminescens	0.1	2.6
Bacteria	44249	Paenibacillus riograndensis	0.1	0.1

DNA
category_name	genus_taxid	name	NT_rpm DNA	NR_rpm DNA
Bacteria	547	Enterobacter hormaechei	99.8	11.2
Bacteria	1578	Lactobacillus crispatus	36.5	21.2
Bacteria	544	Citrobacter freundii	36.4	4.6
Bacteria	1330546	Pluralibacter gergoviae	3.1	0.3
Bacteria	848	Fusobacterium nucleatum	2.3	2.6
Bacteria	59753	Alcanivorax xenomutans	0.7	0.1
Bacteria	40222	Methylophaga nitratireducenticrescens	0.3	0.3
Bacteria	40222	Methylophaga frappieri	0.3	1.6
Bacteria	413496	Cronobacter sakazakii	0.3	1.2
Viruses	333922	Betapapillomavirus 2	0.3	0.3
Bacteria	1380	Atopobium parvulum	0.1	0.1
Bacteria	1883	Streptomyces anulatus	0.1	0.1
Bacteria	662	Vibrio sp. 04Ya090	0.1	0.1
Bacteria	1263	uncultured Ruminococcus sp.	0.1	1.6
Bacteria	1188227	Gloeomargarita lithophora	0.1	0.1
Bacteria	29487	Photorhabdus luminescens	0.1	2.6
Bacteria	44249	Paenibacillus riograndensis	0.1	0.1

Combined
category_name	genus_taxid	Species_Assignment	NT_rpm DNA	NR_rpm DNA	NT_zscore DNA	NT_rpm RNA	NR_rpm RNA	NT_zscore RNA
Bacteria	547	Enterobacter hormaechei	99.8	11.2	99.0	99.8	11.2	99.0
Bacteria	1578	Lactobacillus crispatus	36.5	21.2	17.7	36.5	21.2	17.7
Bacteria	544	Citrobacter freundii	36.4	4.6	99.0	36.4	4.6	99.0
Bacteria	1330546	Pluralibacter gergoviae	3.1	0.3	59.8	3.1	0.3	59.8
Bacteria	848	Fusobacterium nucleatum	2.3	2.6	6.0	2.3	2.6	6.0
Bacteria	59753	Alcanivorax xenomutans	0.7	0.1	10.8	0.7	0.1	10.8
Bacteria	40222	Methylophaga nitratireducenticrescens	0.3	0.3	4.4	0.3	0.3	4.4
Bacteria	413496	Cronobacter sakazakii	0.3	1.2	6.3	0.3	1.2	6.3
Viruses	333922	Betapapillomavirus 2	0.3	0.3	5.3	0.3	0.3	5.3
Bacteria	1380	Atopobium parvulum	0.1	0.1	1.4	0.1	0.1	1.4
Bacteria	1883	Streptomyces anulatus	0.1	0.1	7.0	0.1	0.1	7.0
Bacteria	662	Vibrio sp. 04Ya090	0.1	0.1	1.1	0.1	0.1	1.1
Bacteria	1263	uncultured Ruminococcus sp.	0.1	1.6	3.8	0.1	1.6	3.8
Bacteria	1188227	Gloeomargarita lithophora	0.1	0.1	1.4	0.1	0.1	1.4
Bacteria	29487	Photorhabdus luminescens	0.1	2.6	2.3	0.1	2.6	2.3
Bacteria	44249	Paenibacillus riograndensis	0.1	0.1	1.2	0.1	0.1	1.2



RNA
category_name	genus_taxid	name	NT_rpm RNA	NR_rpm RNA
Bacteria	547	Enterobacter cloacae	5.0	0.6
Bacteria	1298	Deinococcus gobiensis	4.1	0.1
Bacteria	32067	Leptotrichia sp. oral taxon 212	1.2	0.1
Bacteria	85413	Bosea sp. AS-1	1.0	0.1
Bacteria	1077265	Chthonomonas calidirosea	0.7	0.1
Viruses	1308858	Drosophila melanogaster sigmavirus	0.1	0.1
Viruses	2003394	Oryza sativa alphaendornavirus	0.1	0.1
Bacteria	374	Bradyrhizobium sp. ORS 285	0.1	1.9
Bacteria	445	Legionella pneumophila	0.1	0.9

DNA
category_name	genus_taxid	name	NT_rpm DNA	NR_rpm DNA
Bacteria	547	Enterobacter cloacae	5.0	0.6
Bacteria	1298	Deinococcus gobiensis	4.1	0.1
Bacteria	32067	Leptotrichia sp. oral taxon 212	1.2	0.1
Bacteria	85413	Bosea sp. AS-1	1.0	0.1
Bacteria	1077265	Chthonomonas calidirosea	0.7	0.1
Viruses	1308858	Drosophila melanogaster sigmavirus	0.1	0.1
Viruses	2003394	Oryza sativa alphaendornavirus	0.1	0.1
Bacteria	374	Bradyrhizobium sp. ORS 285	0.1	1.9
Bacteria	445	Legionella pneumophila	0.1	0.9

Combined
category_name	genus_taxid	Species_Assignment	NT_rpm DNA	NR_rpm DNA	NT_zscore DNA	NT_rpm RNA	NR_rpm RNA	NT_zscore RNA
Bacteria	547	Enterobacter cloacae	5.0	0.6	1.2	5.0	0.6	1.2
Bacteria	1298	Deinococcus gobiensis	4.1	0.1	5.4	4.1	0.1	5.4
Bacteria	32067	Leptotrichia sp. oral taxon 212	1.2	0.1	3.9	1.2	0.1	3.9
Bacteria	85413	Bosea sp. AS-1	1.0	0.1	1.1	1.0	0.1	1.1
Bacteria	1077265	Chthonomonas calidirosea	0.7	0.1	5.0	0.7	0.1	5.0
Bacteria	374	Bradyrhizobium sp. ORS 285	0.1	1.9	1.2	0.1	1.9	1.2
Bacteria	445	Legionella pneumophila	0.1	0.9	1.7	0.1	0.9	1.7
Viruses	1308858	Drosophila melanogaster sigmavirus	0.1	0.1	5.8	0.1	0.1	5.8
Viruses	2003394	Oryza sativa alphaendornavirus	0.1	0.1	5.8	0.1	0.1	5.8



RNA
category_name	genus_taxid	name	NT_rpm RNA	NR_rpm RNA
Bacteria	57493	Kocuria turfanensis	30.5	0.7
Bacteria	475	Moraxella osloensis	10.8	2.9
Bacteria	332248	Truepera radiovictrix	6.2	0.9
Bacteria	547	Enterobacter cloacae	5.5	0.8
Bacteria	1678	Bifidobacterium adolescentis	4.6	13.0
Bacteria	1372	Planococcus rifietoensis	3.9	2.5
Bacteria	46352	Agrococcus carbonis	1.5	0.1
Bacteria	1298	Deinococcus geothermalis	1.4	0.1
Bacteria	33057	Thauera humireducens	1.0	0.1
Bacteria	1742989	Glutamicibacter arilaitensis	0.9	0.1
Bacteria	1386	Bacillus cereus	0.9	1.9
Bacteria	1386	Bacillus subtilis	0.9	1.7
Bacteria	237	Flavobacterium johnsoniae	0.8	0.2
Bacteria	75	Caulobacter vibrioides	0.8	0.5
Bacteria	906	Megasphaera elsdenii	0.7	0.1
Bacteria	294702	Proteiniphilum saccharofermentans	0.7	0.2
Bacteria	1485	Clostridium perfringens	0.7	0.3
Bacteria	1158	Oscillatoria acuminata	0.5	0.1
Bacteria	202907	Collimonas arenae	0.4	0.1
Bacteria	374	Bradyrhizobium sp. BTAi1	0.4	0.3

DNA
category_name	genus_taxid	name	NT_rpm DNA	NR_rpm DNA
Bacteria	57493	Kocuria turfanensis	30.5	0.7
Bacteria	475	Moraxella osloensis	10.8	2.9
Bacteria	332248	Truepera radiovictrix	6.2	0.9
Bacteria	547	Enterobacter cloacae	5.5	0.8
Bacteria	1678	Bifidobacterium adolescentis	4.6	13.0
Bacteria	1372	Planococcus rifietoensis	3.9	2.5
Bacteria	46352	Agrococcus carbonis	1.5	0.1
Bacteria	1298	Deinococcus geothermalis	1.4	0.1
Bacteria	33057	Thauera humireducens	1.0	0.1
Bacteria	1742989	Glutamicibacter arilaitensis	0.9	0.1
Bacteria	1386	Bacillus cereus	0.9	1.9
Bacteria	1386	Bacillus subtilis	0.9	1.7
Bacteria	237	Flavobacterium johnsoniae	0.8	0.2
Bacteria	75	Caulobacter vibrioides	0.8	0.5
Bacteria	906	Megasphaera elsdenii	0.7	0.1
Bacteria	294702	Proteiniphilum saccharofermentans	0.7	0.2
Bacteria	1485	Clostridium perfringens	0.7	0.3
Bacteria	1158	Oscillatoria acuminata	0.5	0.1
Bacteria	202907	Collimonas arenae	0.4	0.1
Bacteria	374	Bradyrhizobium sp. BTAi1	0.4	0.3

Combined
category_name	genus_taxid	Species_Assignment	NT_rpm DNA	NR_rpm DNA	NT_zscore DNA	NT_rpm RNA	NR_rpm RNA	NT_zscore RNA
Bacteria	57493	Kocuria turfanensis	30.5	0.7	5.5	30.5	0.7	5.5
Bacteria	475	Moraxella osloensis	10.8	2.9	1.3	10.8	2.9	1.3
Bacteria	332248	Truepera radiovictrix	6.2	0.9	5.6	6.2	0.9	5.6
Bacteria	547	Enterobacter cloacae	5.5	0.8	1.6	5.5	0.8	1.6
Bacteria	1678	Bifidobacterium adolescentis	4.6	13.0	5.1	4.6	13.0	5.1
Bacteria	1372	Planococcus rifietoensis	3.9	2.5	5.2	3.9	2.5	5.2
Bacteria	46352	Agrococcus carbonis	1.5	0.1	1.2	1.5	0.1	1.2
Bacteria	1298	Deinococcus geothermalis	1.4	0.1	4.7	1.4	0.1	4.7
Bacteria	33057	Thauera humireducens	1.0	0.1	2.6	1.0	0.1	2.6
Bacteria	1742989	Glutamicibacter arilaitensis	0.9	0.1	2.9	0.9	0.1	2.9
Bacteria	1386	Bacillus cereus	0.9	1.9	2.3	0.9	1.9	2.3
Bacteria	237	Flavobacterium johnsoniae	0.8	0.2	1.1	0.8	0.2	1.1
Bacteria	75	Caulobacter vibrioides	0.8	0.5	1.6	0.8	0.5	1.6
Bacteria	906	Megasphaera elsdenii	0.7	0.1	2.7	0.7	0.1	2.7
Bacteria	294702	Proteiniphilum saccharofermentans	0.7	0.2	2.0	0.7	0.2	2.0
Bacteria	1485	Clostridium perfringens	0.7	0.3	5.0	0.7	0.3	5.0
Bacteria	1158	Oscillatoria acuminata	0.5	0.1	1.9	0.5	0.1	1.9
Bacteria	374	Bradyrhizobium sp. BTAi1	0.4	0.3	1.3	0.4	0.3	1.3
Bacteria	202907	Collimonas arenae	0.4	0.1	2.2	0.4	0.1	2.2
Bacteria	32008	Burkholderia pseudomallei	0.3	0.3	3.5	0.3	0.3	3.5



RNA
category_name	genus_taxid	name	NT_rpm RNA	NR_rpm RNA
Bacteria	216851	Faecalibacterium prausnitzii	13.6	10.0
Bacteria	32207	Rothia mucilaginosa	10.3	0.1
Bacteria	724	[Haemophilus] ducreyi	8.2	0.2
Bacteria	1301	Streptococcus mitis	7.7	1.0
Bacteria	2701	Gardnerella vaginalis	7.7	5.2
Bacteria	168808	Sneathia amnii	5.9	0.3
Bacteria	1082930	Pelagibacterium halotolerans	3.8	0.5
Bacteria	482	Neisseria meningitidis	3.0	1.6
Bacteria	72763	Tessaracoccus aquimaris	2.0	0.4
Bacteria	29404	Microlunatus phosphovorus	1.3	0.5
Bacteria	171436	Tistrella mobilis	1.0	1.0
Bacteria	106589	Cupriavidus gilardii	1.0	0.2
Bacteria	1637257	Mageeibacillus indolicus	1.0	0.2
Bacteria	2013	Nocardiopsis alba	1.0	0.1
Bacteria	133925	Olsenella sp. oral taxon 807	0.9	0.1
Bacteria	294702	Proteiniphilum saccharofermentans	0.9	0.2
Bacteria	1678	Bifidobacterium longum	0.8	2.5
Bacteria	1524217	Labilithrix luteola	0.8	0.3
Bacteria	63132	Geitlerinema sp. PCC 7407	0.6	0.5
Bacteria	2747	Carnobacterium maltaromaticum	0.6	0.5

DNA
category_name	genus_taxid	name	NT_rpm DNA	NR_rpm DNA
Bacteria	216851	Faecalibacterium prausnitzii	13.6	10.0
Bacteria	32207	Rothia mucilaginosa	10.3	0.1
Bacteria	724	[Haemophilus] ducreyi	8.2	0.2
Bacteria	1301	Streptococcus mitis	7.7	1.0
Bacteria	2701	Gardnerella vaginalis	7.7	5.2
Bacteria	168808	Sneathia amnii	5.9	0.3
Bacteria	1082930	Pelagibacterium halotolerans	3.8	0.5
Bacteria	482	Neisseria meningitidis	3.0	1.6
Bacteria	72763	Tessaracoccus aquimaris	2.0	0.4
Bacteria	29404	Microlunatus phosphovorus	1.3	0.5
Bacteria	171436	Tistrella mobilis	1.0	1.0
Bacteria	106589	Cupriavidus gilardii	1.0	0.2
Bacteria	1637257	Mageeibacillus indolicus	1.0	0.2
Bacteria	2013	Nocardiopsis alba	1.0	0.1
Bacteria	133925	Olsenella sp. oral taxon 807	0.9	0.1
Bacteria	294702	Proteiniphilum saccharofermentans	0.9	0.2
Bacteria	1678	Bifidobacterium longum	0.8	2.5
Bacteria	1524217	Labilithrix luteola	0.8	0.3
